projectid	pg_ebook_number	state	title	author	pages_total
projectID65ab7f65ddcfc	78663	proj_submit_pgposted	The whistle	Franklin, Benjamin	11
projectID65c03018e2eaf	78744	proj_submit_pgposted	Specimens of the Russian poets, vol. 1	Bowring, Sir John	276
projectID65c10d77eec1e	78745	proj_submit_pgposted	Specimens of the Russian poets, vol. 2	Bowring, Sir John	300
projectID65e44031ded47	78977	proj_submit_pgposted	Symbolism, Its Meaning and Effect [1927]	Whitehead, Alfred North	100
projectID66242527771de	78729	proj_submit_pgposted	Michael Fairless: Her Life and Writings	Palmer, W. Scott and Haggard, A. M.	149
projectID663989b5dea68	78874	proj_submit_pgposted	Miss Polly Wiggles	Davis, Edna Clark; Greene, Julia, illustrator	346
projectID6644d7736baab	78894	proj_submit_pgposted	The education of the women of India	Cowan, Minna G.	285
projectID6647dd9fc7153	78966	proj_submit_pgposted	A short history of medicine, introducing medical principles to students and non-medical readers	Singer, Charles	402
projectID664f668c85197	78896	proj_submit_pgposted	A fifth day in Mary Carrow's school	American Sunday-School Union	105
projectID665d0630f2d6a	79218	proj_submit_pgposted	Eyes that cannot see	Gnudtzmann, Albert	50
projectID666e213515aa3	79231	proj_submit_pgposted	Judge Ben B. Lindsey on the child--the movie--and censorship.	Lindsey, Ben B.	16
projectID667043307956f	79061	proj_submit_pgposted	Glimpses into Plant-life [1897]	Brightwen, Eliza	352
projectID667fc231b44b9	79059	proj_submit_pgposted	The Generals of the Last War with Great Britain [1849]	Jenkins, John Stilwell	421
projectID668116dba8762	78944	proj_submit_pgposted	The Canadian View of the Alaskan Boundary Dispute [1899]	Mills, David	23
projectID66812847b47f7	78889	proj_submit_pgposted	Observations on the geology, zoology and botany of Hudson's Strait and Bay, made in 1885	Bell, Robert	33
projectID66896887eced0	79344	proj_submit_pgposted	The Eternal Laughter and Other Poems [1903]	Burgess, W. Starling	149
projectID66a04cbbf1f6a	78702	proj_submit_pgposted	Archways of life	de Acosta, Mercedes	61
projectID66a178f9a3b96	79277	proj_submit_pgposted	Moods (prose poems)	de Acosta, Mercedes	51
projectID66abf93e9ef70	78956	proj_submit_pgposted	Culture's garland	Field, Eugene	339
projectID66b4e51dbe3af	78951	proj_submit_pgposted	Women in the factory	Anderson, Adelaide Mary	330
projectID66beddd2314e4	79177	proj_submit_pgposted	Problems in astrophysics	Clerke, Agnes M.	645
projectID66eb285b27be1	78710	proj_submit_pgposted	In doors and out; or, Views from the chimney corner	Optic, Oliver	343
projectID6714e7ba25242	78724	proj_submit_pgposted	Six months in America. Vol. 1 of 2	Vigne, Godfrey Thomas	287
projectID671cd7eccb19a	78876	proj_submit_pgposted	Two English queens and Philip	Hume, Martin A. S.	543
projectID671da35d80adc	79182	proj_submit_pgposted	The life-story of a Russian exile	Sukloff, Marie	261
projectID671f2fa87d007	79242	proj_submit_pgposted	The price of salt	Morgan, Claire	255
projectID6720f0bb13681	78780	proj_submit_pgposted	The marriage	Bannon, Ann	192
projectID672240f1380d5	79057	proj_submit_pgposted	Beebo Brinker	Bannon, Ann	208
projectID6722a2ac3d26e	78684	proj_submit_pgposted	Some Nigerian fertility cults	Talbot, Percy Amaury	182
projectID6727b97720409	79050	proj_submit_pgposted	Slips of tongue and pen	Long, J. H. [John Henry]	121
projectID67343e168d7bd	78809	proj_submit_pgposted	More secret remedies--what they cost and what they contain	British Medical Association	307
projectID673cd4c091c6a	79013	proj_submit_pgposted	Spring fire	Packer, Vin	186
