cicero_tusculan-disputations_c-d-yonge	14988
clara-reeve_the-old-english-baron	5182
clifford-d-simak_short-fiction	27013
clifford-d-simak_short-fiction	22218
clifford-d-simak_short-fiction	62357
clifford-d-simak_short-fiction	63046
clifford-d-simak_short-fiction	63130
clifford-d-simak_short-fiction	69308
clifford-d-simak_short-fiction	51037
clifford-d-simak_short-fiction	22216
clifford-d-simak_short-fiction	32026
clifford-d-simak_short-fiction	61333
compton-mackenzie_sinister-street	33797
compton-mackenzie_sinister-street	33798
confucius_analects_james-legge	3330
constance-holme_the-splendid-fairing	40545
cordwainer-smith_short-fiction	74098
cordwainer-smith_short-fiction	73886
cordwainer-smith_short-fiction	29614
d-h-lawrence_lady-chatterleys-lover	73144
d-h-lawrence_sons-and-lovers	217
d-h-lawrence_the-lost-girl	23727
d-h-lawrence_the-rainbow	28948
d-h-lawrence_women-in-love	4240
d-l-moody_the-way-to-god-and-how-to-find-it	30449
daisy-ashford_the-young-visiters	21415
daniel-defoe_a-journal-of-the-plague-year	376
daniel-defoe_moll-flanders	370
daniel-defoe_the-life-and-adventures-of-robinson-crusoe	521
dante-alighieri_the-divine-comedy_henry-wadsworth-longfellow	1004
david-garnett_lady-into-fox	10337
david-hume_a-treatise-of-human-nature	4705
david-hume_an-enquiry-concerning-human-understanding	9662
david-lindsay_a-voyage-to-arcturus	1329
david-park-barnitz_the-book-of-jade	46827
denis-diderot_the-indiscreet-jewels_r-freeman	54672
diogenes-laertius_the-lives-and-opinions-of-eminent-philosophers_c-d-yonge	57342
dorothy-canfield-fisher_the-homemaker	72140
dorothy-canfield-fisher_understood-betsy	5347
dorothy-l-sayers_robert-eustace_the-documents-in-the-case	77601
dorothy-l-sayers_whose-body	58820
dorothy-m-richardson_backwater	56221
dorothy-m-richardson_deadlock	56925
dorothy-m-richardson_honeycomb	56664
dorothy-m-richardson_interim	57395
dorothy-m-richardson_pointed-roofs	3019
dorothy-m-richardson_revolving-lights	62967
dorothy-m-richardson_the-tunnel	56447
e-c-bentley_trents-last-case	2568
e-e-cummings_the-enormous-room	8446
e-e-smith_first-lensman	49525
e-e-smith_the-skylark-of-space	20869
e-e-smith_triplanetary	32706
e-f-benson_ghost-stories	72421
e-f-benson_ghost-stories	60339
e-f-knight_the-cruise-of-the-alerte	38891
e-m-forster_a-passage-to-india	61221
e-m-forster_a-room-with-a-view	2641
e-m-forster_aspects-of-the-novel	70492
e-m-forster_howards-end	2946
e-m-forster_short-fiction	34089
e-m-forster_short-fiction	72890
e-m-forster_where-angels-fear-to-tread	2948
e-nesbit_five-children-and-it	778
e-nesbit_hardings-luck	28725
e-nesbit_the-enchanted-castle	3536
e-nesbit_the-house-of-arden	57799
e-nesbit_the-magic-city	20606
e-nesbit_the-phoenix-and-the-carpet	836
e-nesbit_the-railway-children	1874
